VMail Message;Day Mins;Eve Mins;Night Mins;Intl Mins;Area Code;Phone
0;149.3;242.2;174.3;8.9;408;345-3934
0;65.4;168.2;236;13.8;408;338-8050
0;213.4;234.5;250.1;2.7;415;388-9568
0;206.9;244.7;221.5;7.7;415;402-6591
27;186.2;189.6;76.5;9.6;408;403-6419
23;280.2;220.5;136.9;13.3;415;386-9790
22;196.6;313.2;163.3;11.9;415;378-5692
0;312;129.4;217.6;10.5;408;360-3324
36;199;291.3;197.6;11;415;410-3719
0;203.1;217;180.9;13.5;415;352-4221
0;168.8;220.3;154.3;10.9;415;327-6179
0;173.1;240.3;233.2;9;415;359-6196
0;134.4;211.3;193.6;10.2;510;374-9107
40;202.6;118.8;234.9;9;408;357-4078
0;74.5;200.8;192.2;9.8;408;366-5780
0;83.6;120.9;226.6;10.7;510;393-9619
0;192.2;168.6;139.8;9.4;415;355-9295
0;220.2;88.3;195.3;12.9;510;400-5751
0;135.1;134.1;223.1;12.3;415;338-1027
0;253.4;182.4;275.8;8.4;415;405-8867
0;225;176.9;194.3;7.1;408;336-5616
0;198.5;267.8;354.9;9.4;408;335-1697
0;110.3;166.5;202.3;9.5;408;331-5138
37;60;102.2;261.8;11.1;415;385-8240
0;214.8;149.7;283.4;10.2;510;348-1359
0;181.8;202.4;245.9;9.2;408;354-7339
23;154;278;228.4;11.8;510;349-1687
29;157.4;117.9;279.2;13.9;415;380-2558
0;207.9;172;191.8;14.4;415;365-2153
0;207;232.9;172.4;9.1;408;345-6043
41;119;230;236.9;9.5;510;349-2808
0;143.7;273;178.3;10.9;415;411-1715
32;165.9;216.5;173.1;14.1;408;385-2488
0;138.6;172.3;231.6;9.8;510;377-7177
0;84.7;249.9;193.4;14.5;415;342-1099
0;62.6;180.6;221.7;10.4;408;386-4170
0;155.2;235.3;169.4;8.7;510;413-1269
25;164.9;209.3;231.2;6.7;510;396-4460
0;134.5;143.1;223.9;15.4;408;334-2730
0;143.3;211.3;185.2;11.5;415;340-3182
0;168.3;221.2;241;12.5;510;377-8608
0;262.4;194.6;146.5;8.3;408;417-3676
30;206.2;260;291.6;11.4;510;417-6774
28;225.8;193;232.4;8.4;510;411-9554
0;138.3;170.5;263.9;13.5;408;420-3192
48;94.4;136.2;147.4;4.5;510;389-1475
0;160;175.4;184.8;9.9;408;343-7734
0;206.6;224.9;249.9;14.6;415;410-3390
0;134.7;180;200.9;7.7;415;344-6495
28;214.4;235.2;206.2;8;415;331-6229
0;192.8;234.4;203.2;13;415;337-7501
28;151.1;194.8;239.2;10;408;339-9631
0;221.4;231.8;122.5;9.8;415;369-4384
0;218.9;208;203.3;11.1;510;416-3915
48;189.8;123.4;214.2;6.5;408;339-3049
25;192.7;225.9;254.2;10.9;415;361-7998
0;204.4;219.1;222.7;10.5;510;355-4842
0;172.3;174;188.2;13;415;387-6440
0;198.4;210.9;193.3;10.4;415;369-2625
37;211.7;159.9;144.1;12.2;415;389-7073
28;221.6;288.4;240.3;9;415;370-8463
0;197.9;181.5;281.4;6.7;415;362-7318
24;147.5;175.7;252.1;15.6;408;412-1194
0;206.4;128;194.5;8.8;510;355-9508
0;205.9;209.3;289.9;14.5;408;352-8202
0;207.6;132.4;255.2;14.1;510;335-5882
0;303.9;260.9;312.1;5.3;510;352-6976
34;230.6;219.4;299.3;8;415;393-6733
0;99.5;129.1;125.1;9.7;510;335-1838
0;177.1;194;146.7;5.9;510;355-6930
37;172.7;120.1;216.1;10.3;415;387-5860
18;172.7;133.4;259.5;9.8;510;343-2605
0;204.2;179.9;216.8;9.5;510;350-6759
0;85.7;247.7;142.4;10.1;415;371-1514
0;157.6;184.3;240.4;11.9;415;346-9317
0;215.5;218.7;207.1;6.6;415;398-4313
0;181.5;199.9;287.7;6.6;415;412-4399
0;171.7;110.4;195.4;11.9;415;330-1835
0;266.6;264.8;207.2;5.9;415;416-1676
0;170.4;350.5;297;11.2;408;329-7347
0;158;292.5;241.1;9.1;415;360-6868
0;92;253.6;214.1;10.3;510;405-6641
0;234;249.5;173.1;9.1;415;393-2373
0;272.1;268.5;213.8;8.5;415;419-1714
0;296.4;214.8;133.9;11.4;408;336-3819
0;194.4;190.3;183.4;11.4;510;341-3464
0;227.2;258.4;183.5;8.9;415;413-5310
0;248.7;220;265.7;13.2;415;366-7912
38;236.3;195.9;183.5;9.7;415;399-8845
0;205.6;169.5;220.1;10.9;510;368-2583
0;94.1;280.3;205;9.8;408;360-6309
0;125.2;205.4;254.4;18.9;408;359-5890
0;60.4;306.2;123.9;12.4;408;332-2462
28;121;270.4;160.5;7.7;415;381-9196
29;117.8;256.8;147.6;7.6;415;329-3222
21;232.4;211.9;273;5;510;363-5819
32;223.5;188.8;154.9;9.4;510;413-9269
0;176.3;259.2;287.4;6.2;510;330-7483
32;125.2;177.8;232.4;12.9;415;403-7775
0;138.7;256.9;234.9;10;408;360-2479
0;86.3;246.6;251.6;11.3;415;394-3791
0;207;154.9;245.1;13.4;408;384-2632
30;58.8;219.5;152.3;7.1;510;359-8466
35;68.7;209.2;197.4;11.4;408;331-8909
33;239.2;235.5;156.3;9.5;408;359-5160
0;198.3;217.1;188.4;12.5;510;330-9833
0;205.2;240.6;79.7;14.4;510;362-2314
0;192.1;312.9;130.2;7.9;510;338-8478
0;272.6;248.7;197.4;9.5;415;387-5453
0;128.3;197.1;138.4;12.2;415;380-3437
0;169.6;264.1;206.3;9.3;510;365-8779
0;201.3;152.8;233.2;7.5;510;407-2750
17;214.7;138.5;169.1;8.6;408;396-8265
0;169.2;271.5;170.2;10.6;510;397-4304
0;194.1;176.6;302.8;7;415;333-2611
0;233.8;266.5;212.7;7.6;510;409-8814
0;225.1;199.2;175.5;14.6;408;336-5406
0;213;176.6;262.6;9.1;415;343-6940
0;183.9;255.9;275;10.8;415;361-9923
34;221.8;161.7;227.7;14;415;350-6639
21;64.6;176.1;244.8;0;408;376-4300
37;154.6;83.4;165.9;13.3;510;349-6567
0;260.2;179.2;135;7.2;415;333-7749
33;161.6;123;261.3;12.2;415;408-6089
0;220.6;155.2;186.7;10.5;510;375-2165
41;155.9;162.3;127.6;13.1;415;400-6999
0;107;105.7;243.1;12.8;510;420-7823
0;182.5;204.7;229.9;11.3;510;366-5241
38;220.1;234.3;237.3;10.1;415;413-3412
0;152.2;177.2;96.4;5.3;408;406-2752
0;181.5;205.1;204;14.7;415;337-8078
0;236.2;218.6;194.1;13.2;408;402-1942
0;166.1;79.3;213.7;12.7;415;371-7917
0;244.6;188.8;206;11.3;408;343-6374
23;134.2;227.3;122.4;8.5;408;385-8730
39;149.7;211.1;114.3;9.2;408;393-7892
29;150.1;264.7;178.4;5.8;408;407-6748
0;257.1;312.2;183;8.8;408;341-4463
0;124.4;179.7;253;11.3;415;351-2587
36;141.7;232.3;222.1;12;415;421-9752
0;230;103.2;309.6;11.3;408;356-4001
0;162.3;213.7;192.1;10.9;408;328-9869
0;350.8;216.5;253.9;10.1;415;343-5709
0;193.3;264.1;128.6;9.1;415;334-1872
0;78.2;253.4;255;18;415;350-1040
0;83.4;232.2;146.7;7.6;415;369-3214
0;195.6;267.8;164.9;16;415;385-6778
0;201.8;225;204.4;10.3;415;383-7689
0;197;222.8;225.3;10.6;408;385-5722
0;218;114.4;269.2;12.4;415;357-1909
0;164.8;229.9;167.3;14.8;415;364-3567
0;179.2;210.7;276.9;9.2;415;422-4241
21;214;180;134.5;10.6;415;370-2957
0;170.5;118.2;187.9;11.2;415;329-6562
0;205.7;214.5;226.1;6.7;408;363-3515
0;165.5;286.2;198.9;11.5;415;374-7787
0;221;160.7;233.1;6.8;415;345-2931
0;242.1;191;218.6;14.7;510;373-5732
0;151.6;155.4;240;14.7;415;348-7437
0;176.2;145;249.5;5.7;415;332-9460
22;196;322.7;225.6;3.7;415;355-6531
0;159.5;247.1;187.9;7.2;408;336-9390
0;230.2;220.4;204.7;10.7;415;346-8581
0;146.7;274;321.3;8.9;415;363-8824
0;210.5;204.5;127.8;8.5;510;353-3351
0;102;270.2;148.2;10.7;415;360-4320
0;126;238.5;285.1;10.2;510;417-6252
0;168.4;243.8;214.7;11.1;415;393-4949
0;105.6;258.2;213.1;8.7;415;401-3156
0;206.5;176.2;232.8;12.4;415;338-6283
0;217.1;205.2;185.7;9.4;510;352-9017
0;229.6;205.7;166.2;10.8;510;405-5305
22;278.3;93.4;107.6;9.7;415;376-9249
0;138.6;199;204.1;7.8;408;339-7139
0;234.4;279.3;234.2;2;415;328-6011
0;181.5;130.7;186.5;8.5;510;378-1303
0;167.3;230;191.7;10.6;415;402-5155
31;121;218.9;226.7;12;415;333-5430
0;221.1;110.8;240.1;10.6;415;365-9696
26;145.8;192.2;165.1;9.9;408;410-4023
0;222.8;163.2;160.6;11.2;510;411-7649
0;183.4;242;201.4;7.5;415;338-4065
0;264.3;160.9;198.6;9.3;415;421-9401
0;146;109.7;247.4;6.8;415;343-9658
0;157.1;184.9;197.2;8.5;510;332-5521
0;127.3;251.3;135;10.3;510;349-4369
0;187.9;197;167;4.8;415;351-4288
0;178.8;141.2;203;8.4;408;422-5874
0;97.2;186.2;189;10.4;415;396-2324
0;259.8;242.3;168.8;5.4;415;416-5662
0;256.5;199.5;188.3;7;415;363-9663
0;169.5;124;219.4;10;415;410-9477
0;239.7;282.9;238.4;8.7;415;352-4418
0;171.5;160;212.4;5;510;361-6563
0;239.9;174.8;209.5;9.8;408;417-4404
34;142.3;194.8;239.3;16;408;372-8048
0;184.1;327;212.5;7.5;415;356-3646
28;206.9;264.4;171.8;9.3;415;351-9604
0;259.9;176.2;77.2;15.3;510;355-9581
0;203.8;283.1;197.3;12.5;415;396-5189
45;248.8;140.3;263.6;10.3;415;356-9187
16;221.6;130.2;200;11.3;415;394-5537
0;192.9;185.5;205.2;10.9;510;408-2712
0;122.4;113.4;180.2;12.5;415;404-4486
40;104.9;216.3;217.4;9.6;415;355-1113
0;173.2;196.8;209.3;11.2;408;411-4674
0;119.4;273.3;214.4;12.4;510;376-4519
0;250.3;260.6;195;13.3;510;365-5979
0;178.3;282.6;181;11.4;415;382-2879
0;243.4;182.1;259.2;12.8;510;420-1383
0;155;175.3;155.6;11.8;415;411-7390
31;288.7;203.8;203.2;8.6;408;383-8848
29;240.4;118.9;164.2;11.2;510;387-9301
0;190.3;301.3;214.6;8;415;399-3164
0;278;176.7;219.5;8.3;510;385-8997
0;155;330.6;189.4;13.5;510;352-6573
0;153.5;197.6;198.5;6.3;415;408-3384
27;273.4;154;245.8;12.3;510;419-6033
0;155.3;265.7;145.7;12.4;408;336-2090
29;133.1;221.2;131.6;6.8;510;343-7242
0;246.8;187.8;154.5;12.6;510;376-1713
0;165.4;196;349.2;9.6;408;381-5878
0;59.5;257.2;208.3;11.1;510;390-5470
0;138.3;236;179.1;9.6;510;414-4803
0;286.7;134.4;192.9;6.9;510;382-5478
0;117.3;201.1;107.9;12.2;415;333-7637
21;264.3;202.8;173.4;6.3;510;341-1647
0;127.9;271.2;202.2;12.5;408;411-4232
23;225.5;246.3;245.7;9.8;408;339-2616
0;149;245.3;260;8.3;510;327-3850
20;198.9;274;190.7;14.3;415;328-7209
0;256.4;273.9;222.7;11.1;408;405-6189
0;264.8;245.4;160.5;14.8;415;418-6737
0;98.2;180.5;223.6;9.3;415;366-2212
0;159.8;264;115.7;9.7;408;356-1420
28;190.6;220.1;180.3;6;415;343-1323
0;184;120.4;153.7;11;415;361-8239
0;261.8;220.6;136.6;9.6;415;384-1621
0;147.9;228.4;299.7;9.6;408;360-3525
18;106.4;108.1;208.4;10.1;415;392-3813
0;133.7;195.3;280.5;5.9;408;337-6898
23;193.5;220.2;272.4;8.5;415;366-8036
0;178.2;167.8;182.1;13.6;415;352-8327
36;226.2;181.6;258.8;10.5;510;334-9505
0;170.4;200.2;258.3;11.6;415;336-5702
32;70.9;166.7;244.9;11.1;415;392-2381
34;194.4;254.9;160.2;17.2;510;369-6880
0;240.3;164.6;240.7;10.6;415;416-8697
0;75;248.7;176;9.5;408;345-3451
0;69.1;136.3;181.7;6.3;408;379-2514
33;96.6;315.4;163.3;6.2;510;418-6651
20;214.6;235.1;162.8;14.8;415;421-3528
0;148.5;146.5;289.2;9.9;510;329-9046
0;258.1;161.4;225.1;11.7;510;406-3890
23;149.7;162.5;220.3;7.6;510;403-8904
0;149.8;164.4;294.7;8.1;408;393-4086
0;190.4;158.1;271.5;11.2;408;400-1367
0;181.4;253.8;112.3;11.6;408;377-9473
0;151.1;187.4;255.4;5.3;408;396-3068
0;155.7;173.7;257.4;8.1;415;331-9293
0;149.9;256.1;212.7;13.3;510;347-1914
0;222.3;231.5;223.5;11;510;395-1962
16;149.4;131.8;132.7;6.7;415;401-5485
0;233.8;221.6;146.9;12.8;510;355-6560
0;204.2;292.6;244.3;10.5;415;363-3911
0;242.9;209.8;228.4;0;510;345-1998
0;150.4;230.5;186.3;12.3;415;361-5277
0;208.9;252.4;280.2;12.8;415;376-7145
0;191.9;256.1;203.7;14.3;415;375-2975
0;130.7;260.6;244.2;9.4;415;376-8573
33;119.6;278.7;263.4;5.9;415;366-7360
0;273.6;114.6;250.6;8.2;408;347-7898
0;156.1;180.3;179.6;11.1;415;390-7328
36;178.7;178.6;126.8;8;415;356-5491
0;177.5;287.4;180.5;11.9;415;373-3251
0;211.3;105.6;175.9;9.7;408;343-1965
0;175.2;244.4;75.8;7.5;415;378-8019
23;114.3;190.3;240.4;12.6;415;386-1548
28;251.4;225.1;251.9;7.5;415;397-1649
0;216.9;207.4;221.7;17.5;415;366-7247
26;217.2;145.5;280.7;9.3;415;402-9691
0;206.3;154.9;263.6;12.4;510;334-9806
0;159.3;125.9;261.9;11.1;415;378-7733
31;143.1;236.6;227.8;11.4;415;407-2248
0;154;329.8;288;5.6;415;405-3916
24;186.6;222;234.9;11.6;408;407-2081
26;170.8;199.5;169.7;9.6;415;397-9148
17;124;202.9;205.1;12.3;408;415-4857
0;198.3;279.3;146.2;14.8;415;354-7314
0;172.8;204.8;240.8;9.1;408;346-5611
30;217.4;213.8;227.2;6.6;415;349-4703
29;265.9;215.8;108.1;14;408;411-7778
14;93.6;193.8;144.9;17.5;510;421-1469
0;98.2;307.2;182.5;7.6;510;420-5990
0;214.7;158.6;123.4;9.4;408;389-4780
0;168.2;224.7;169.5;12.9;415;357-2735
0;202.9;153.8;113.5;9;408;409-4791
0;261.4;154.5;130.9;11.6;415;380-5286
0;73.3;161.4;239.6;8.2;510;394-8402
27;253.7;229.2;190.5;9.2;408;392-1616
0;45;151.3;152.9;9.8;408;364-1969
0;231.3;171.7;67.7;13;510;390-4152
0;47.4;167.8;163.1;10.5;408;367-7039
0;227.4;182.5;191.7;12.5;510;391-6607
22;40.9;133.4;264.2;11.9;415;379-6652
0;124.8;157.3;199.3;8.6;415;384-1833
0;68.5;337.1;205.2;12.1;510;403-2455
37;163.5;203.1;232;7.8;415;391-1348
0;163;219.1;233.4;6.7;415;408-4174
38;213.7;253;207.7;10.7;415;366-4334
36;201.3;42.2;125.7;5.4;415;406-5059
0;310.4;66.5;246.5;9.2;510;373-6784
0;48.4;281.1;218.5;18.2;408;408-3532
40;171.2;145.7;196.8;14;415;350-8680
22;166.5;183;121;8.5;415;398-9870
0;216.6;190.8;224.7;12.4;415;343-3356
0;107.8;216.6;217.5;9.9;408;415-4609
28;141.3;168;113.5;7.8;408;404-5387
29;209.9;158;141.9;6.6;415;415-8151
20;237.5;253.4;265.2;14.2;415;416-2778
0;234.5;216.5;191.6;3.5;415;393-3300
31;103.1;243;76.4;12.2;510;391-7661
27;129.5;248.9;268;11.9;510;339-4317
0;279.8;248.7;171;8.4;510;418-6455
41;136.8;200.8;133.7;10.3;510;378-3508
31;100.1;246.3;255;5.9;415;390-9359
31;237.1;205.6;196.7;10.1;408;364-2495
0;172.8;183.1;158.8;7.9;415;364-7719
0;224.5;200.7;116.6;11.5;415;421-1189
0;288.1;258;192.4;10.2;510;419-8987
0;78.2;195.9;108;10.1;510;402-9980
0;148.7;259;149.5;12.7;415;376-5908
25;194.6;119.9;175.5;13.1;415;400-3150
0;159.5;303.8;226.9;12;408;336-1749
20;194.5;213.7;236.6;9.5;408;420-1259
0;174.1;251.1;257.6;8.3;408;339-7541
0;131.8;136.7;308.2;7.7;415;378-9029
0;160.6;237;245.1;10.7;415;342-7514
18;146.8;310;178.7;7.2;408;422-4956
28;200.7;264.2;172.7;9.1;408;389-8606
0;145.6;98.3;230.8;10.9;415;406-7261
29;229.4;257.4;231.5;8;415;417-7973
0;211;189;123;4.7;510;390-2891
37;121.5;271.4;248.7;11.3;510;385-7387
0;216;188.2;147.1;3.6;510;362-2776
0;293;160.6;143.9;10;510;329-1955
32;221.1;264.9;168.9;15.4;408;344-3160
0;181.5;196.9;187.2;10.3;510;406-2454
26;74.3;177.3;296.3;14.5;415;335-3913
0;62.3;275;138.7;10.8;415;355-7705
31;228.6;248.5;167.1;9;408;410-7108
0;228.1;276.5;279.8;9.9;510;419-1674
